Title,Price,Location,Bedrooms,Bathrooms,Area,Property Type,Furnished
شقة للبيع من المالك مباشرا متشطبه بالفرش وجاهزه للسكن في ميفيدا اعمار.,"EGP 17,800,000","Mivida Compound, 5th Settlement",2,1,172,Apartment,Yes
"Fully finished apartment with 30% discount or installments over 10 years, Hyde Park New Cairo","EGP 7,000,000","Hyde Park Central, New Cairo",2,2,114,Apartment,No
Now you can own your finished apartment with installments from Hyde Park,"EGP 11,980,000","Hyde Park New Cairo Compound, 5th Settlement",2,1,116,Apartment,N/A
"Apartment for sale 145 m 3 bedrooms Mountain View iCity Fifth Settlement with a down payment of 3,440,000 landscape view prime location Mountain View","EGP 7,584,168","Mountain View iCity Compound, 5th Settlement",3,3,145,Apartment,No
"Finished apartment & ACs in Sheikh Zayed, minutes from Zed Towers , Cairo gate Emaar & Hyper One.","EGP 6,000,000","Village West Compound, Sheikh Zayed",3,2,159,Apartment,N/A
A 245sqm apartment for sale in Mountain View at the old price.,"EGP 8,500,000","Mountain View iCity Compound, 5th Settlement",3,3,245,Apartment,N/A
Apartment for sale 140m in Madinaty B10 - next to the Champs-Élysées with finishing by the company overlooking the park and in front of the private service area of the phase and the mosque Madinaty,"EGP 6,800,000","Madinaty, Cairo",3,2,140,Apartment,N/A
Luxurious hotel penthouse resale in Amwaj – North Coast with a very distinctive view,"EGP 8,000,000","Amwaj, Sidi Abdel Rahman",2,2,130,Penthouse,N/A
With the lowest price in market Fully finished apartment with garden for sale with 3 bedrooms in Compound fifth square marasem new cario,"EGP 15,000,000","Fifth Square Compound, 5th Settlement",3,3,195,Apartment,No
Resale apartment 132 m fully finished with ACs with a down payment and installments prime location in Fifth Square 5th Settlement,"EGP 8,813,000","Fifth Square Compound, 5th Settlement",2,2,132,Apartment,No
Ready 177sqm Apartment – 3 Bedrooms with open View in privado,"EGP 13,047,477","Privado, Madinaty",3,4,177,Apartment,N/A
للبيع ستوديو في تاج سيتي,"EGP 3,200,000","Taj City Compound, 1st Settlement",1,1,64,Studio,No
"Apartment for sale in Taj City (3bed) in front of Cairo Airport, direct view of the open landscape","EGP 6,200,000","Taj City Compound, 1st Settlement",3,3,166,Apartment,N/A
Apartment for sale 265 meters in the ninth district,"EGP 3,100,000","Shorouk City, Cairo",3,3,265,Apartment,No
apartment fully finished and fully furnitured 3 bedrooms direct on pool privat gym for building in mivida boulevard,"EGP 20,700,000","Mivida Compound, 5th Settlement",3,4,191,Apartment,Yes
Apartment 140 m 3 bedrooms downpayment and instalment prime location open view in compound Mountain view 1.1 new Cairo,"EGP 9,494,000","Mountain View 1.1, 1st Settlement",3,3,140,Apartment,No
Own the finest apartment model 700 in Madinaty 327m - Super Lux finishing and a fabulous view of the club and the wide garden,"EGP 17,000,000","Madinaty, Cairo",3,3,327,Apartment,N/A
"3BR apartment in a garden in front of the Kempinski and JW Marriott Hotel, on installments","EGP 7,450,000","Taj City Compound, 1st Settlement",3,3,164,Apartment,N/A
"Apartment 210 m for sale inside a villa in the most upscale neighborhoods of Shorouk City, in the second district west, next to Saudi Market, the Fren","EGP 3,570,000","Shorouk City, Cairo",3,3,186,Apartment,N/A
Apartment - 2 bedroom - Delivered - under market price - in The Square compound - new cairo,"EGP 4,800,000","The Square Compound, 5th Settlement",2,2,132,Apartment,No
شقة للبيع في المنصورة الزعفران,"EGP 2,902,500","Mansura, Dakahlia",3,2,135,Apartment,No
Apartment Ultra super lux Very prime location sale,"EGP 14,000,000","Beverly Hills Compound, Sheikh Zayed",3,3,254,Apartment,No
"For sale in installments, a 190-meter furnished apartment with air conditioning available for viewing in front of the American University in Golden Square. Selling for the purpose of traveling. Price is a rare catch that won't be repeated again - new cairo apartment","EGP 5,100,000","5th Settlement, New Cairo",3,3,190,Apartment,No
Apartment for sale 200 m Al-Ibrahimiyya (Sh. Al-Hijaz),"EGP 4,500,000","Al Ibrahimiyyah, Alexandria",3,2,200,Apartment,No
"Apartment for sale in Jannah 1, Sheikh Zayed","EGP 6,400,000","Janna 1, Sheikh Zayed",3,2,130,Apartment,No
Duplex For Sale Fully Finished Direct On Sea Ready To Move In Amwaj - North Coast,"EGP 15,000,000","Amwaj, Sidi Abdel Rahman",4,4,190,Duplex,N/A
"For sale by owner apartment in Madinaty B14 directly on the water stream, saving 500 thousand, third floor, double face, panoramic view of the water stream and Mega Mall","EGP 13,000,000","Madinaty, Cairo",3,3,162,Apartment,Yes
250m apartment for sale super lux finishing offshoots of Al-Sayd Street,"EGP 11,500,000","Dokki, Giza",3,3,250,Apartment,No
Exclusive Apartment for Sale Direct from Owner in Prime O West,"EGP 9,850,000","O West Compound, 6th of October",3,3,173,Apartment,No
Apartment with a villa system and a private entrance in DUNES Sheikh Zayed in front of Beverly Hills Sodic,"EGP 7,500,000","Zayed Dunes Compound, Sheikh Zayed",4,3,186,Apartment,N/A
شقة مميزة في امتداد غرب الجولف – مربع 7، فيلا 15,"EGP 16,000,000","Gharb Golf, Katameya",3,2,320,Apartment,Yes
"Fully finished Apartment in Swan Lake Residence, BUA 173 sqm, 3 bedrooms (1 master), 4 bathrooms, Nanny room","EGP 15,950,952","Swan Lake Residences, 1st Settlement",3,4,173,Apartment,No
"Aapartment 125meter ready to move, finished in the Al-Fustat New Arabesque compound, with a special cash discount and a direct view on Salah salem","EGP 3,300,000","Arabesque, El Fostat",2,2,125,Apartment,No
